date,Méně / Více
2024-02-05,2.0
2024-02-06,1.84
2024-02-07,1.9249999999999998
2024-02-11,2.08
2024-02-12,1.96
2024-02-13,1.84
2024-02-14,1.8666666666666665
2024-02-15,1.9733333333333334
2024-02-16,2.033333333333333
2024-02-17,2.08
2024-02-18,2.08
2024-02-19,2.045
2024-02-20,2.11
2024-02-21,2.16
2024-02-22,2.08
