date,Prvý premiér s vyslovenou dôverou NRSR - Danko Andrej,Prvý premiér s vyslovenou dôverou NRSR - Dzurinda Mikuláš,Prvý premiér s vyslovenou dôverou NRSR - Fico Róbert,Prvý premiér s vyslovenou dôverou NRSR - Forró Krisztián,Prvý premiér s vyslovenou dôverou NRSR - Heger Eduard,Prvý premiér s vyslovenou dôverou NRSR - Kollár Boris,Prvý premiér s vyslovenou dôverou NRSR - Kotleba Marian,Prvý premiér s vyslovenou dôverou NRSR - Majerský Milan,Prvý premiér s vyslovenou dôverou NRSR - Matovič Igor,Prvý premiér s vyslovenou dôverou NRSR - Pellegrini Peter,Prvý premiér s vyslovenou dôverou NRSR - Remišová Veronika,Prvý premiér s vyslovenou dôverou NRSR - Sulík Richard,Prvý premiér s vyslovenou dôverou NRSR - Uhrík Milan,Prvý premiér s vyslovenou dôverou NRSR - Šimečka Michal
2023-07-27,350.0,600.0,2.8,700.0,200.0,50.0,750.0,350.0,80.0,3.1,600.0,120.0,250.0,2.8
2023-07-28,350.0,600.0,2.75,700.0,200.0,50.0,750.0,350.0,80.0,3.2,600.0,120.0,250.0,2.75
2023-07-29,350.0,600.0,2.75,700.0,200.0,50.0,750.0,350.0,80.0,3.2,600.0,120.0,250.0,2.75
2023-07-30,350.0,600.0,2.75,700.0,200.0,50.0,750.0,350.0,80.0,3.2,600.0,120.0,250.0,2.75
2023-07-31,350.0,600.0,2.75,700.0,200.0,50.0,750.0,350.0,80.0,3.2,600.0,120.0,250.0,2.75
2023-08-01,350.0,600.0,2.75,700.0,200.0,50.0,750.0,350.0,80.0,3.2,600.0,120.0,250.0,2.75
2023-08-02,350.0,600.0,2.75,700.0,200.0,50.0,750.0,350.0,80.0,3.2,600.0,120.0,250.0,2.75
2023-08-03,350.0,600.0,2.725,700.0,200.0,62.5,800.0,350.0,90.0,3.2,600.0,135.0,250.0,2.775
2023-08-04,350.0,600.0,2.675,700.0,200.0,75.0,850.0,350.0,100.0,3.2,600.0,150.0,250.0,2.8
2023-08-05,350.0,600.0,2.65,700.0,200.0,75.0,850.0,350.0,100.0,3.2,600.0,150.0,250.0,2.8
2023-08-06,350.0,600.0,2.65,700.0,200.0,75.0,850.0,350.0,100.0,3.2,600.0,150.0,250.0,2.8
2023-08-07,350.0,600.0,2.525,700.0,200.0,75.0,850.0,350.0,100.0,3.225,600.0,150.0,250.0,2.9
2023-08-08,350.0,600.0,2.4,700.0,200.0,75.0,850.0,350.0,100.0,3.25,600.0,150.0,250.0,3.0
2023-08-09,350.0,700.0,2.325,1000.0,333.0,150.0,1000.0,400.0,115.0,3.415,800.0,250.0,333.0,3.0
2023-08-10,350.0,700.0,2.25,1000.0,333.0,150.0,1000.0,400.0,115.0,3.575,800.0,250.0,333.0,3.0
2023-08-11,350.0,700.0,2.25,1000.0,333.0,150.0,1000.0,400.0,115.0,3.65,800.0,250.0,333.0,3.0
2023-08-12,325.0,750.0,2.2350000000000003,1000.0,341.5,150.0,1000.0,450.0,117.5,3.7249999999999996,800.0,250.0,341.5,3.0
2023-08-13,300.0,800.0,2.22,1000.0,350.0,150.0,1000.0,500.0,120.0,3.7999999999999994,800.0,250.0,350.0,3.0
2023-08-14,300.0,800.0,2.22,1000.0,350.0,150.0,1000.0,500.0,120.0,3.7999999999999994,800.0,250.0,350.0,3.0
2023-08-15,300.0,800.0,2.185,1000.0,350.0,200.0,1000.0,500.0,115.0,3.975,800.0,250.0,350.0,2.95
2023-08-16,300.0,800.0,2.15,1000.0,350.0,250.0,1000.0,500.0,110.0,4.15,800.0,250.0,350.0,2.9
2023-08-17,300.0,800.0,2.15,1000.0,350.0,250.0,1000.0,500.0,110.0,4.15,800.0,250.0,350.0,2.9
2023-08-18,300.0,800.0,2.25,1000.0,350.0,250.0,1000.0,500.0,110.0,4.0,800.0,250.0,350.0,2.8
2023-08-19,300.0,800.0,2.25,1000.0,350.0,250.0,1000.0,500.0,110.0,4.05,800.0,250.0,350.0,2.7249999999999996
2023-08-20,300.0,800.0,2.25,1000.0,350.0,250.0,1000.0,500.0,110.0,4.1,800.0,250.0,350.0,2.65
2023-08-21,300.0,800.0,2.25,1000.0,350.0,250.0,1000.0,500.0,110.0,4.1,800.0,250.0,350.0,2.65
2023-08-22,300.0,800.0,2.225,1000.0,350.0,250.0,1000.0,500.0,110.0,4.1,800.0,250.0,350.0,2.65
2023-08-23,300.0,800.0,2.2,1000.0,350.0,250.0,1000.0,500.0,110.0,4.1,800.0,250.0,350.0,2.65
2023-08-24,325.0,900.0,2.1500000000000004,1000.0,375.0,275.0,1100.0,550.0,115.0,4.175,900.0,275.0,375.0,2.7
2023-08-25,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.25,1000.0,300.0,400.0,2.75
2023-08-26,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.25,1000.0,300.0,400.0,2.75
2023-08-27,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.25,1000.0,300.0,400.0,2.75
2023-08-28,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.25,1000.0,300.0,400.0,2.75
2023-08-29,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.25,1000.0,300.0,400.0,2.75
2023-08-30,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.25,1000.0,300.0,400.0,2.75
2023-08-31,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.2,1000.0,300.0,400.0,2.775
2023-09-01,350.0,1000.0,2.1,1000.0,400.0,300.0,1200.0,600.0,120.0,4.15,1000.0,300.0,400.0,2.8
2023-09-03,350.0,1000.0,2.3,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.7
2023-09-04,350.0,1000.0,2.3,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.7
2023-09-05,350.0,1000.0,2.3,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.7
2023-09-06,350.0,1000.0,2.3,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.7
2023-09-07,350.0,1000.0,2.3,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.7
2023-09-08,350.0,1000.0,2.3000000000000003,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.6999999999999997
2023-09-09,350.0,1000.0,2.3000000000000003,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.6999999999999997
2023-09-10,350.0,1000.0,2.3000000000000003,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.6999999999999997
2023-09-11,350.0,1000.0,2.3000000000000003,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.6999999999999997
2023-09-12,350.0,1000.0,2.3000000000000003,1000.0,450.0,350.0,1200.0,600.0,150.0,3.85,1000.0,300.0,500.0,2.6999999999999997
2023-09-13,350.0,1000.0,2.3000000000000003,1000.0,450.0,350.0,1200.0,600.0,175.0,3.85,1000.0,300.0,466.6666666666667,2.6999999999999997
2023-09-14,350.0,1000.0,2.275,1000.0,450.0,350.0,1200.0,600.0,200.0,3.8749999999999996,1000.0,300.0,400.0,2.725
2023-09-15,300.0,1000.0,2.2,1000.0,450.0,400.0,1200.0,600.0,200.0,3.9000000000000004,1000.0,300.0,450.0,2.75
