date,Aliancia,Demokrati,Hlas,KDH,"Modrí, Most – Híd",OĽANO A PRIATELIA,Progresívne Slovensko,Republika,SNS,SaS,Sme rodina,Smer,ĽS Naše Slovensko
2023-07-26,500.0,300.0,1.28,70.0,700.0,7.0,1.05,4.5,90.0,45.0,45.0,1.01,700.0
2023-07-27,500.0,300.0,1.3050000000000002,70.0,700.0,7.5,1.04,4.25,90.0,45.0,45.0,1.01,700.0
2023-07-28,500.0,300.0,1.33,70.0,675.0,8.5,1.03,4.0,90.0,45.0,45.0,1.01,700.0
2023-07-29,500.0,300.0,1.2650000000000001,70.0,650.0,9.5,1.04,4.1,90.0,45.0,45.0,1.01,700.0
2023-07-30,500.0,300.0,1.22,70.0,650.0,10.0,1.05,4.2,90.0,45.0,45.0,1.01,700.0
2023-07-31,500.0,300.0,1.22,70.0,650.0,10.0,1.05,4.0,90.0,45.0,45.0,1.01,700.0
2023-08-01,500.0,300.0,1.22,70.0,650.0,8.0,1.05,4.5,75.0,45.0,45.0,1.01,725.0
2023-08-02,500.0,300.0,1.22,70.0,650.0,6.0,1.05,5.0,60.0,45.0,45.0,1.01,750.0
2023-08-03,500.0,300.0,1.22,60.0,650.0,6.0,1.05,5.0,55.0,37.5,39.0,1.01,750.0
2023-08-04,500.0,300.0,1.2349999999999999,50.0,650.0,5.5,1.05,5.0,40.0,27.5,34.0,1.01,750.0
2023-08-05,500.0,350.0,1.275,47.5,675.0,5.0,1.045,4.75,30.0,25.0,35.0,1.01,725.0
2023-08-06,500.0,400.0,1.37,45.0,700.0,4.0,1.03,4.0,30.0,25.0,35.0,1.01,700.0
2023-08-07,500.0,400.0,1.4100000000000001,45.0,700.0,4.125,1.03,4.125,32.5,25.0,34.0,1.01,700.0
2023-08-08,500.0,400.0,1.5,45.0,700.0,4.0,1.03,4.5,35.0,22.0,33.0,1.01,700.0
2023-08-09,475.0,425.0,1.77,40.0,700.0,3.375,1.02,4.125,35.0,20.0,33.0,1.01,700.0
2023-08-10,475.0,475.0,1.77,40.0,700.0,3.325,1.02,4.1,35.0,19.0,33.0,1.01,700.0
2023-08-11,500.0,500.0,1.7,40.0,700.0,3.4,1.02,4.2,35.0,20.0,33.0,0.0050000000000000044,700.0
2023-08-12,500.0,500.0,1.725,40.0,700.0,3.25,1.02,4.2,35.0,20.0,33.0,-1.0,700.0
2023-08-13,500.0,500.0,1.75,40.0,700.0,3.25,1.02,4.2,35.0,20.0,33.0,-1.0,700.0
2023-08-14,500.0,500.0,1.7333333333333334,40.0,700.0,3.283333333333333,1.02,4.233333333333333,35.0,30.0,33.0,-1.0,700.0
2023-08-15,500.0,500.0,1.7,40.0,700.0,3.35,1.02,4.3,35.0,30.0,33.0,-1.0,700.0
2023-08-16,500.0,500.0,1.7,40.0,700.0,3.35,1.02,4.3,35.0,30.0,33.0,-1.0,700.0
2023-08-17,500.0,500.0,1.65,40.0,700.0,3.425,1.01,4.4,35.0,30.0,33.0,-1.0,700.0
2023-08-18,500.0,500.0,1.5,40.0,700.0,3.85,1.02,5.0,35.0,30.0,33.0,-1.0,700.0
2023-08-19,500.0,500.0,1.475,40.0,700.0,3.85,1.02,5.0,35.0,30.0,33.0,-1.0,700.0
2023-08-20,500.0,500.0,1.4249999999999998,37.5,700.0,3.925,1.02,4.75,35.0,27.5,36.5,-1.0,700.0
2023-08-21,500.0,500.0,1.375,35.0,700.0,4.15,1.02,5.0,35.0,25.0,40.0,-1.0,700.0
2023-08-22,500.0,500.0,1.35,35.0,700.0,4.4,1.02,5.75,35.0,25.0,40.0,-1.0,700.0
